                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.1252,                0.49276,                0.99508,                 0.9685,                 0.9761,                0.98534,                0.70109,                 1.0952,                0.42894,                0.99831,              0.0082576,              0.0082576,              0.0082576
                     47,                  1.124,                0.48699,                0.99613,                0.96975,                0.97584,                0.98564,                 0.7058,                 1.0967,                0.42305,                 1.0004,               0.008218,               0.008218,               0.008218
                     48,                 1.1108,                0.48148,                0.99526,                0.97101,                0.97531,                 0.9848,                0.70518,                 1.0916,                0.42296,                0.99797,              0.0081784,              0.0081784,              0.0081784
                     49,                 1.1224,                0.48818,                0.99394,                0.96959,                0.97837,                0.98557,                0.70285,                 1.0892,                 0.4211,                0.99646,              0.0081388,              0.0081388,              0.0081388
                     50,                 1.1152,                0.48535,                0.99033,                 0.9727,                0.97832,                0.98659,                 0.7075,                 1.0831,                0.41738,                0.99474,              0.0080992,              0.0080992,              0.0080992
                     51,                 1.1114,                0.48282,                0.98822,                0.96993,                0.97558,                0.98544,                0.70736,                  1.084,                0.41773,                0.99571,              0.0080596,              0.0080596,              0.0080596
                     52,                 1.1013,                0.47769,                0.98837,                0.97166,                0.97592,                0.98667,                0.70853,                 1.0794,                0.41981,                0.99366,                0.00802,                0.00802,                0.00802
                     53,                 1.1029,                0.47729,                0.98788,                0.96928,                 0.9805,                0.98659,                0.71004,                 1.0778,                 0.4168,                0.99211,              0.0079804,              0.0079804,              0.0079804
                     54,                 1.1036,                0.47744,                0.98934,                0.96991,                0.98086,                0.98644,                0.71256,                 1.0789,                0.41343,                0.99518,              0.0079408,              0.0079408,              0.0079408
                     55,                  1.099,                 0.4771,                 0.9859,                0.97286,                0.97836,                0.98491,                0.71006,                 1.0712,                 0.4119,                0.99399,              0.0079012,              0.0079012,              0.0079012
                     56,                 1.0957,                 0.4764,                0.98595,                0.96991,                0.97845,                0.98649,                 0.7088,                   1.07,                0.41336,                0.99391,              0.0078616,              0.0078616,              0.0078616
                     57,                 1.0956,                0.47333,                0.98501,                0.97498,                0.97793,                0.98673,                0.71279,                 1.0767,                0.41087,                0.99479,               0.007822,               0.007822,               0.007822
