frame,x,y,trajectory,treatment,rep
4804,0.274621,0.299409,425,cnt,rep2
13834,0.754235,0.47978,357,cnt,rep1
13834,0.823978,0.870772,358,cnt,rep1
13834,0.315037,0.220767,359,cnt,rep1
13834,0.544958,0.142709,361,cnt,rep1
12683,0.472871,0.200653,509,cnt,rep2
265,0.740325,0.771367,1,cnt,rep2
265,0.258756,0.290813,389,cnt,rep2
2384,0.834544,0.0980031,79,cnt,rep3
2384,0.408356,0.890512,82,cnt,rep3
2384,0.534927,0.757173,84,cnt,rep3
5069,0.481699,0.665945,448,cnt,rep3
5069,0.652126,0.198253,155,cnt,rep3
9858,0.71193,0.571876,239,cnt,rep1
2343,0.717377,0.155096,50,cnt,rep1
2343,0.82436,0.931088,51,cnt,rep1
2343,0.612938,0.0785493,52,cnt,rep1
2343,0.725843,0.894483,53,cnt,rep1
2343,0.576756,0.881097,54,cnt,rep1
1848,0.652308,0.199074,535,cnt,rep3
4377,0.747347,0.92857,101,cnt,rep2
4377,0.270837,0.268981,425,cnt,rep2
5785,0.644622,0.878298,139,cnt,rep1
5785,0.842907,0.413648,129,cnt,rep1
10508,0.790451,0.311448,252,cnt,rep1
6415,0.480307,0.644345,139,cnt,rep1
6415,0.793638,0.526552,150,cnt,rep1
6415,0.423442,0.508018,155,cnt,rep1
6415,0.82655,0.802672,156,cnt,rep1
5916,0.668926,0.787092,139,cnt,rep1
5916,0.915945,0.537333,142,cnt,rep1
10101,0.917148,0.608604,249,cnt,rep1
2953,0.762383,0.651257,97,cnt,rep3
445,0.696903,0.359524,8,cnt,rep3
445,0.416267,0.871738,389,cnt,rep3
445,0.923391,0.315978,9,cnt,rep3
317,0.719994,0.691714,390,cnt,rep2
4208,0.762935,0.936424,101,cnt,rep2
13213,0.289407,0.363827,308,cnt,rep1
13213,0.763416,0.258717,339,cnt,rep1
13213,0.410032,0.255588,337,cnt,rep1
5498,0.258528,0.302271,425,cnt,rep2
5498,0.708261,0.607868,433,cnt,rep2
917,0.585576,0.298057,390,cnt,rep2
917,0.416283,0.68693,19,cnt,rep2
917,0.797421,0.787168,21,cnt,rep2
917,0.433367,0.803722,392,cnt,rep2
14448,0.59932,0.815213,372,cnt,rep1
14448,0.669413,0.126615,375,cnt,rep1
10911,0.360996,0.838555,264,cnt,rep1
10911,0.939743,0.534971,270,cnt,rep1
10911,0.549676,0.144867,271,cnt,rep1
10911,0.461883,0.242658,268,cnt,rep1
10911,0.812126,0.338326,272,cnt,rep1
8522,0.349573,0.427698,448,cnt,rep2
8522,0.672704,0.544121,147,cnt,rep2
13938,0.83395,0.733579,240,cnt,rep3
11166,0.924705,0.533443,270,cnt,rep1
11166,0.35838,0.712896,277,cnt,rep1
11621,0.924909,0.55051,270,cnt,rep1
11621,0.709467,0.862553,288,cnt,rep1
11621,0.818541,0.861348,289,cnt,rep1
597,0.676591,0.195325,8,cnt,rep3
597,0.337714,0.618315,390,cnt,rep3
11578,0.295518,0.564627,221,cnt,rep3
9529,0.321869,0.72074,192,cnt,rep3
9529,0.542914,0.121749,201,cnt,rep3
13348,0.646184,0.78949,344,cnt,rep1
13348,0.537353,0.221732,348,cnt,rep1
13305,0.307583,0.352561,489,cnt,rep3
12148,0.347801,0.604764,475,cnt,rep3
4994,0.276791,0.301627,425,cnt,rep2
7168,0.67756,0.632829,170,cnt,rep1
7168,0.374054,0.775102,179,cnt,rep1
2041,0.299675,0.65977,407,cnt,rep3
2041,0.637417,0.743926,71,cnt,rep3
13347,0.290688,0.353947,489,cnt,rep3
4131,0.667229,0.20306,437,cnt,rep3
12924,0.344827,0.296975,273,cnt,rep2
12989,0.283468,0.354993,308,cnt,rep1
14872,0.464261,0.592714,383,cnt,rep1
6719,0.794685,0.544789,150,cnt,rep1
6719,0.533807,0.720802,164,cnt,rep1
8262,0.733129,0.509546,195,cnt,rep1
8262,0.793698,0.426819,200,cnt,rep1
8262,0.435692,0.494888,204,cnt,rep1
4889,0.466522,0.649734,448,cnt,rep3
10488,0.231525,0.0379399,192,cnt,rep2
8366,0.714208,0.641836,200,cnt,rep1
12126,0.742714,0.936962,494,cnt,rep2
3956,0.846741,0.135358,92,cnt,rep1
3956,0.865681,0.566999,85,cnt,rep1
3956,0.820783,0.483781,93,cnt,rep1
13723,0.792145,0.542612,357,cnt,rep1
13723,0.807194,0.914028,358,cnt,rep1
13723,0.317837,0.22854,359,cnt,rep1
10846,0.298136,0.421806,470,cnt,rep3
7018,0.658252,0.415307,170,cnt,rep1
7018,0.719205,0.463172,175,cnt,rep1
7018,0.680596,0.768136,164,cnt,rep1
7018,0.598926,0.0855218,176,cnt,rep1
7018,0.403754,0.564161,179,cnt,rep1
12598,0.446772,0.945477,507,cnt,rep2
11362,0.405913,0.62448,478,cnt,rep2
11991,0.703722,0.353104,288,cnt,rep1
11991,0.853164,0.578556,270,cnt,rep1
4992,0.276993,0.307741,425,cnt,rep2
8006,0.518331,0.211179,552,cnt,rep3
6493,0.333654,0.630693,163,cnt,rep3
6754,0.510735,0.748871,130,cnt,rep2
8033,0.519475,0.217489,552,cnt,rep3
5764,0.642217,0.875032,139,cnt,rep1
5764,0.837664,0.416373,129,cnt,rep1
5764,0.301394,0.637076,141,cnt,rep1
5471,0.686643,0.0657521,137,cnt,rep1
5471,0.809215,0.415864,129,cnt,rep1
1682,0.616571,0.77475,19,cnt,rep2
9782,0.321343,0.714753,192,cnt,rep3
9782,0.310784,0.442237,464,cnt,rep3
13819,0.746882,0.451577,357,cnt,rep1
13819,0.828517,0.858872,358,cnt,rep1
13819,0.322822,0.235014,359,cnt,rep1
13819,0.545665,0.127364,361,cnt,rep1
12197,0.739589,0.344157,497,cnt,rep2
1957,0.620544,0.530499,19,cnt,rep2
5077,0.484633,0.653792,448,cnt,rep3
5077,0.65244,0.210463,155,cnt,rep3
1033,0.680165,0.409027,390,cnt,rep2
1033,0.447165,0.712676,19,cnt,rep2
1033,0.36112,0.314133,29,cnt,rep2
1033,0.637523,0.918516,25,cnt,rep2
4946,0.471895,0.646348,448,cnt,rep3
4946,0.73348,0.247356,548,cnt,rep3
5181,0.254096,0.296266,425,cnt,rep2
2254,0.441633,0.58607,59,cnt,rep2
2254,0.602274,0.677343,19,cnt,rep2
2254,0.677117,0.399151,62,cnt,rep2
9386,0.326331,0.730926,192,cnt,rep3
11962,0.659736,0.550294,238,cnt,rep2
11962,0.234843,0.0292928,479,cnt,rep2
4551,0.275947,0.293012,425,cnt,rep2
478,0.660337,0.667202,3,cnt,rep1
478,0.420939,0.929846,4,cnt,rep1
8838,0.321719,0.741576,192,cnt,rep3
8838,0.534717,0.326438,194,cnt,rep3
2468,0.806879,0.945627,51,cnt,rep1
2468,0.526739,0.86768,58,cnt,rep1
8684,0.457943,0.323712,450,cnt,rep2
8684,0.19352,0.0443066,157,cnt,rep2
1922,0.321128,0.695398,407,cnt,rep3
1922,0.565998,0.859892,71,cnt,rep3
1922,0.869841,0.753609,73,cnt,rep3
4137,0.672699,0.196783,437,cnt,rep3
8428,0.676082,0.714835,200,cnt,rep1
8428,0.90816,0.724103,208,cnt,rep1
4788,0.664794,0.706932,109,cnt,rep1
4788,0.740489,0.923833,111,cnt,rep1
4788,0.667134,0.948878,112,cnt,rep1
13047,0.281743,0.356917,308,cnt,rep1
7258,0.509331,0.20316,552,cnt,rep3
13464,0.312814,0.299597,489,cnt,rep3
3077,0.476505,0.226172,540,cnt,rep3
3077,0.706894,0.662135,420,cnt,rep3
5389,0.804906,0.401864,129,cnt,rep1
5389,0.363554,0.855817,135,cnt,rep1
265,0.508841,0.55415,3,cnt,rep1
13583,0.313665,0.241902,489,cnt,rep3
13583,0.301568,0.506442,492,cnt,rep3
2901,0.853079,0.164021,65,cnt,rep1
2755,0.778789,0.601016,417,cnt,rep3
14673,0.636338,0.390555,296,cnt,rep2
6671,0.793935,0.539321,150,cnt,rep1
6671,0.605425,0.775232,164,cnt,rep1
9625,0.769288,0.639922,238,cnt,rep1
9625,0.673099,0.185306,239,cnt,rep1
5384,0.805276,0.398371,129,cnt,rep1
4017,0.864402,0.587884,85,cnt,rep1
4017,0.813006,0.492332,93,cnt,rep1
2198,0.753943,0.79825,49,cnt,rep1
2198,0.707913,0.181753,50,cnt,rep1
2198,0.343324,0.20214,44,cnt,rep1
2198,0.830067,0.906998,51,cnt,rep1
2198,0.487315,0.268859,45,cnt,rep1
2364,0.834741,0.101222,79,cnt,rep3
2364,0.744055,0.446796,538,cnt,rep3
2364,0.398704,0.866759,82,cnt,rep3
5068,0.481696,0.665813,448,cnt,rep3
5068,0.652743,0.197259,155,cnt,rep3
5951,0.484482,0.312696,433,cnt,rep2
14367,0.525932,0.781959,372,cnt,rep1
14367,0.734332,0.609489,370,cnt,rep1
4238,0.752926,0.918624,101,cnt,rep2
11627,0.922398,0.554617,270,cnt,rep1
11627,0.816309,0.849584,289,cnt,rep1
464,0.661201,0.67482,3,cnt,rep1
464,0.412172,0.953088,4,cnt,rep1
5428,0.318455,0.638344,163,cnt,rep3
13622,0.487379,0.181723,519,cnt,rep2
3649,0.722665,0.922339,85,cnt,rep2
7013,0.570472,0.143838,438,cnt,rep2
7856,0.273199,0.0885035,140,cnt,rep2
5133,0.251688,0.2932,425,cnt,rep2
7376,0.510476,0.211301,552,cnt,rep3
2060,0.881223,0.54976,18,cnt,rep1
2060,0.799208,0.0626911,43,cnt,rep1
2060,0.86608,0.629755,13,cnt,rep1
4386,0.29764,0.419576,133,cnt,rep3
4386,0.712867,0.340132,440,cnt,rep3
6725,0.793333,0.537849,150,cnt,rep1
6725,0.544433,0.665836,164,cnt,rep1
6725,0.53945,0.384725,166,cnt,rep1
5727,0.327674,0.633753,163,cnt,rep3
5727,0.32013,0.540797,170,cnt,rep3
13931,0.826612,0.851814,358,cnt,rep1
13931,0.316469,0.237795,359,cnt,rep1
4770,0.747345,0.636579,546,cnt,rep3
9455,0.320621,0.734739,192,cnt,rep3
1604,0.703198,0.362397,531,cnt,rep3
1604,0.769633,0.586843,62,cnt,rep3
1604,0.317694,0.598761,63,cnt,rep3
10874,0.230896,0.035554,192,cnt,rep2
8780,0.495485,0.167428,216,cnt,rep1
8437,0.475105,0.321562,142,cnt,rep2
11170,0.654248,0.185904,474,cnt,rep3
1911,0.622499,0.428673,19,cnt,rep2
1911,0.423294,0.908228,57,cnt,rep2
8399,0.700542,0.666668,200,cnt,rep1
14067,0.586673,0.168915,522,cnt,rep2
1221,0.575947,0.273003,390,cnt,rep2
1221,0.507133,0.782025,19,cnt,rep2
2453,0.648375,0.278535,403,cnt,rep2
9458,0.32215,0.734246,192,cnt,rep3
660,0.822246,0.37821,19,cnt,rep3
660,0.557161,0.983819,17,cnt,rep3
660,0.336272,0.624178,390,cnt,rep3
2192,0.649462,0.760005,71,cnt,rep3
2192,0.42614,0.59246,407,cnt,rep3
2192,0.82063,0.0752277,79,cnt,rep3
12832,0.358839,0.580406,271,cnt,rep2
4791,0.759163,0.631523,546,cnt,rep3
4708,0.912856,0.346109,96,cnt,rep1
4708,0.656932,0.856844,109,cnt,rep1
14587,0.600784,0.220911,296,cnt,rep2
5385,0.320709,0.638332,163,cnt,rep3
5839,0.332692,0.637835,163,cnt,rep3
5839,0.31549,0.540513,170,cnt,rep3
3364,0.785151,0.512667,112,cnt,rep3
5222,0.250918,0.286449,425,cnt,rep2
1509,0.740707,0.57104,531,cnt,rep3
7870,0.815302,0.862163,194,cnt,rep1
7674,0.510857,0.21787,552,cnt,rep3
8092,0.518062,0.221915,552,cnt,rep3
13280,0.280583,0.503838,308,cnt,rep1
3750,0.751968,0.655144,85,cnt,rep1
11998,0.623171,0.640098,238,cnt,rep2
11998,0.233295,0.0297553,479,cnt,rep2
5603,0.320097,0.634135,163,cnt,rep3
11587,0.282889,0.57024,221,cnt,rep3
4958,0.267507,0.297934,425,cnt,rep2
2623,0.304716,0.431978,92,cnt,rep3
9396,0.465742,0.308583,234,cnt,rep1
9396,0.790039,0.44483,235,cnt,rep1
9396,0.731327,0.78731,230,cnt,rep1
842,0.680039,0.196736,3,cnt,rep1
842,0.933111,0.353772,9,cnt,rep1
12407,0.405438,0.249868,254,cnt,rep2
12407,0.32447,0.374279,504,cnt,rep2
2595,0.605173,0.0800176,52,cnt,rep1
2595,0.696039,0.893992,59,cnt,rep1
2628,0.609325,0.0752242,52,cnt,rep1
2628,0.734813,0.958999,59,cnt,rep1
2628,0.687495,0.677312,62,cnt,rep1
12747,0.280801,0.354669,308,cnt,rep1
12747,0.756886,0.345093,325,cnt,rep1
12747,0.406323,0.193775,323,cnt,rep1
8960,0.310034,0.567016,221,cnt,rep1
8669,0.329702,0.723347,192,cnt,rep3
5130,0.341293,0.312571,158,cnt,rep3
5650,0.646911,0.88105,139,cnt,rep1
5650,0.830514,0.416761,129,cnt,rep1
3291,0.513042,0.0379896,78,cnt,rep2
6274,0.486821,0.593451,139,cnt,rep1
6274,0.779738,0.348025,144,cnt,rep1
6274,0.789789,0.524489,150,cnt,rep1
6274,0.516208,0.421887,153,cnt,rep1
6274,0.671818,0.882904,154,cnt,rep1
5573,0.798285,0.408099,129,cnt,rep1
8582,0.326567,0.7095,192,cnt,rep3
6481,0.334231,0.632832,163,cnt,rep3
420,0.666108,0.709236,390,cnt,rep2
3950,0.462352,0.807665,420,cnt,rep2
14162,0.709421,0.518435,242,cnt,rep3
455,0.679542,0.341856,8,cnt,rep3
455,0.926312,0.312933,9,cnt,rep3
455,0.338841,0.596632,390,cnt,rep3
5872,0.447171,0.445847,433,cnt,rep2
9944,0.760153,0.529241,239,cnt,rep1
9944,0.300272,0.429851,247,cnt,rep1
2497,0.803721,0.942182,51,cnt,rep1
2497,0.519218,0.880031,58,cnt,rep1
2497,0.604669,0.0574022,52,cnt,rep1
6187,0.331679,0.63102,163,cnt,rep3
2033,0.881445,0.575679,18,cnt,rep1
2033,0.82788,0.635076,13,cnt,rep1
2033,0.528997,0.870986,42,cnt,rep1
2033,0.822212,0.0580577,43,cnt,rep1
14359,0.522875,0.780248,372,cnt,rep1
14359,0.735656,0.60516,370,cnt,rep1
13677,0.765444,0.640488,357,cnt,rep1
13677,0.810288,0.910148,358,cnt,rep1
13677,0.316127,0.234704,359,cnt,rep1
6006,0.326144,0.633223,163,cnt,rep3
10843,0.22932,0.0357072,192,cnt,rep2
11103,0.654522,0.385246,470,cnt,rep2
11103,0.534919,0.202715,472,cnt,rep2
8290,0.404318,0.206932,142,cnt,rep2
6749,0.316002,0.668248,163,cnt,rep3
5242,0.774422,0.571197,128,cnt,rep1
5242,0.804953,0.356362,129,cnt,rep1
8974,0.20723,0.039247,157,cnt,rep2
2283,0.711209,0.188619,50,cnt,rep1
2283,0.822843,0.932297,51,cnt,rep1
2283,0.559654,0.339562,45,cnt,rep1
8452,0.642242,0.764196,200,cnt,rep1
7770,0.503395,0.21706,552,cnt,rep3
13784,0.773573,0.479648,357,cnt,rep1
13784,0.817507,0.89037,358,cnt,rep1
13784,0.313863,0.220737,359,cnt,rep1
13342,0.28746,0.350495,489,cnt,rep3
5154,0.252524,0.292596,425,cnt,rep2
5592,0.812057,0.416736,129,cnt,rep1
4746,0.728553,0.659895,546,cnt,rep3
12175,0.741432,0.350156,497,cnt,rep2
12175,0.233352,0.0276708,479,cnt,rep2
12865,0.278764,0.35313,308,cnt,rep1
4179,0.719851,0.530135,95,cnt,rep1
4179,0.931528,0.351174,96,cnt,rep1
5849,0.329506,0.635057,163,cnt,rep3
5849,0.308888,0.540147,170,cnt,rep3
5172,0.454822,0.620448,160,cnt,rep3
8552,0.324929,0.71344,192,cnt,rep3
13619,0.483025,0.183728,519,cnt,rep2
5275,0.246643,0.286207,425,cnt,rep2
13590,0.484836,0.184495,519,cnt,rep2
6275,0.336416,0.633009,163,cnt,rep3
9008,0.321959,0.732571,192,cnt,rep3
8477,0.60233,0.666124,200,cnt,rep1
8779,0.493188,0.166417,216,cnt,rep1
13626,0.331757,0.248153,489,cnt,rep3
13638,0.485231,0.164717,519,cnt,rep2
4294,0.726626,0.712122,438,cnt,rep3
14174,0.709401,0.521347,242,cnt,rep3
13984,0.851173,0.799515,358,cnt,rep1
9104,0.324403,0.732025,192,cnt,rep3
9517,0.242139,0.519323,172,cnt,rep2
10635,0.743012,0.555007,212,cnt,rep3
10635,0.353621,0.387919,213,cnt,rep3
2024,0.883788,0.578542,18,cnt,rep1
2024,0.617431,0.841612,41,cnt,rep1
2024,0.819076,0.643821,13,cnt,rep1
6086,0.672483,0.726691,139,cnt,rep1
6086,0.777967,0.414973,144,cnt,rep1
6086,0.308224,0.710004,147,cnt,rep1
5930,0.338208,0.63543,163,cnt,rep3
